* Project:       hupsel
* File content:  specified output data of SWAP
* File name:     hupselbrook/rswap/result_output_tz.csv
* Model version: Swap 4.2.0
* Generated at:  2023-04-21 10:03:40
*,(cm),(cm),(cm3/cm3),(g/cm3 w)
DATE,DEPTH,H,WC,CONC
2002-06-30,-85.000,-1.45519E+01, 3.63392E-01, 1.58750E+01
2002-06-30,-95.000,-4.53657E+00, 3.78177E-01, 9.64044E+00
2002-06-30,-105.000, 5.46343E+00, 3.80000E-01, 4.74901E+00
2002-06-30,-115.000, 1.54634E+01, 3.80000E-01, 1.89767E+00
2002-06-30,-125.000, 2.54634E+01, 3.80000E-01, 6.12452E-01
2002-06-30,-135.000, 3.54634E+01, 3.80000E-01, 1.58357E-01
2002-06-30,-145.000, 4.54634E+01, 3.80000E-01, 3.23549E-02
2002-06-30,-155.000, 5.54634E+01, 3.80000E-01, 5.10918E-03
2002-06-30,-165.000, 6.54634E+01, 3.80000E-01, 6.01742E-04
2002-06-30,-175.000, 7.54634E+01, 3.80000E-01, 4.97815E-05
2002-06-30,-185.000, 8.54634E+01, 3.80000E-01, 2.58172E-06
2002-06-30,-195.000, 9.54634E+01, 3.80000E-01, 6.31740E-08
2002-07-31,-.500,-7.68396E+00, 4.07446E-01, 2.34388E-01
2002-07-31,-1.500,-7.97352E+00, 4.06779E-01, 2.83465E-01
2002-07-31,-2.500,-8.29858E+00, 4.06022E-01, 3.40246E-01
2002-07-31,-3.500,-8.66370E+00, 4.05162E-01, 4.05893E-01
2002-07-31,-4.500,-9.07411E+00, 4.04182E-01, 4.81657E-01
2002-07-31,-5.500,-9.53591E+00, 4.03065E-01, 5.68981E-01
2002-07-31,-6.500,-1.00562E+01, 4.01791E-01, 6.69496E-01
2002-07-31,-7.500,-1.06432E+01, 4.00335E-01, 7.85052E-01
2002-07-31,-8.500,-1.13068E+01, 3.98667E-01, 9.17789E-01
2002-07-31,-9.500,-1.20585E+01, 3.96755E-01, 1.07013E+00
2002-07-31,-12.500,-1.50799E+01, 3.88904E-01, 1.59466E+00
2002-07-31,-17.500,-2.34699E+01, 3.66929E-01, 3.44958E+00
2002-07-31,-22.500,-3.97368E+01, 3.28763E-01, 7.23437E+00
2002-07-31,-27.500,-6.68759E+01, 2.81562E-01, 1.40197E+01
2002-07-31,-32.500,-8.99058E+01, 1.91970E-01, 2.22219E+01
2002-07-31,-37.500,-9.19954E+01, 1.89049E-01, 2.77814E+01
2002-07-31,-42.500,-8.60237E+01, 1.97641E-01, 3.05634E+01
2002-07-31,-47.500,-7.86111E+01, 2.09415E-01, 3.18167E+01
2002-07-31,-52.500,-7.14086E+01, 2.22173E-01, 3.18643E+01
2002-07-31,-57.500,-6.46763E+01, 2.35398E-01, 3.09129E+01
2002-07-31,-65.000,-5.53916E+01, 2.55870E-01, 2.83188E+01
2002-07-31,-75.000,-4.40941E+01, 2.84317E-01, 2.23291E+01
2002-07-31,-85.000,-3.34963E+01, 3.13771E-01, 1.57097E+01
2002-07-31,-95.000,-2.32625E+01, 3.42382E-01, 9.56746E+00
2002-07-31,-105.000,-1.31973E+01, 3.66107E-01, 4.74191E+00
2002-07-31,-115.000,-3.18875E+00, 3.79080E-01, 1.89767E+00
2002-07-31,-125.000, 6.81125E+00, 3.80000E-01, 6.12452E-01
2002-07-31,-135.000, 1.68113E+01, 3.80000E-01, 1.58357E-01
2002-07-31,-145.000, 2.68113E+01, 3.80000E-01, 3.23549E-02
2002-07-31,-155.000, 3.68113E+01, 3.80000E-01, 5.10918E-03
2002-07-31,-165.000, 4.68113E+01, 3.80000E-01, 6.01742E-04
2002-07-31,-175.000, 5.68113E+01, 3.80000E-01, 4.97815E-05
2002-07-31,-185.000, 6.68112E+01, 3.80000E-01, 2.58172E-06
2002-07-31,-195.000, 7.68112E+01, 3.80000E-01, 6.31740E-08
2002-08-31,-.500,-1.55223E+02, 2.03671E-01, 5.35059E-01
2002-08-31,-1.500,-1.53787E+02, 2.04466E-01, 5.06834E-01
2002-08-31,-2.500,-1.52296E+02, 2.05300E-01, 5.31979E-01
2002-08-31,-3.500,-1.50757E+02, 2.06173E-01, 5.90433E-01
2002-08-31,-4.500,-1.49175E+02, 2.07082E-01, 6.70821E-01
2002-08-31,-5.500,-1.47553E+02, 2.08027E-01, 7.67365E-01
2002-08-31,-6.500,-1.45898E+02, 2.09005E-01, 8.77830E-01
2002-08-31,-7.500,-1.44213E+02, 2.10015E-01, 1.00208E+00
2002-08-31,-8.500,-1.42503E+02, 2.11056E-01, 1.14130E+00
2002-08-31,-9.500,-1.40771E+02, 2.12126E-01, 1.29764E+00
2002-08-31,-12.500,-1.35589E+02, 2.15430E-01, 1.82732E+00
2002-08-31,-17.500,-1.26648E+02, 2.21516E-01, 3.39124E+00
2002-08-31,-22.500,-1.17764E+02, 2.28109E-01, 5.99267E+00
2002-08-31,-27.500,-1.09075E+02, 2.35161E-01, 9.92205E+00
